A1BG        P04217
KLHL4       Q9C0H6
KLHL5       Q96PQ7
KLHL6       Q8WZ60
KLHL7       Q8IXQ5
KLHL8       Q9P2G9
KLHL9       Q9P2J3
KLHL10      Q6JEL2
KLHL11      Q9NVR0
KLHL12      Q53G59
KLHL13      Q9P2N7
KLHL14      Q9P2G3
KLHL15      Q96M94
KLHL17      Q6TDP4
KLHL18      O94889
KLHL20      Q9Y2M5
KLHL21      Q9UJP4
KLHL22      Q53GT1
KLHL23      Q8NBE8
KLHL24      Q6TFL4
KLHL25      Q9H0H3
KLHL26      Q53HC5
KLHL28      Q9NXS3
KLHL29      Q96CT2
KLHL30      Q0D2K2
KLHL31      Q9H511
KLHL32      Q96NJ5
KLHL33      A6NCF5
KLHL34      Q8N239
KLHL35      Q6PF15
KLHL36      Q8N4N3
KLHL38      Q2WGJ6
KLHL40      Q2TBA0
KLHL41      O60662
KLHL42      Q9P2K6
KLK1        P06870
KLK2        P20151
KLK3        P07288
KLK4        Q9Y5K2
KLK5        Q9Y337
KLK6        Q92876
KLK7        P49862
KLK8        O60259
KLK9        Q9UKQ9
KLK10       O43240
KLK11       Q9UBX7
KLK12       Q9UKR0
KLK13       Q9UKR3
KLK14       Q9P0G3
KLK15       Q9H2R5
KLKB1       P03952
KLLN        B2CW77
KLRB1       Q12918
KLRC1       P26715
KLRC2       P26717
KLRC3       Q07444
KLRC4       O43908
KLRD1       Q13241
KLRF1       Q9NZS2
KLRF2       D3W0D1
KLRG1       Q96E93
KLRG2       A4D1S0
KLRK1       P26718
KMO         O15229
KMT2A       Q03164
KMT2B       Q9UMN6
KMT2C       Q8NEZ4
KMT2D       O14686
KMT2E       Q8IZD2
KMT5A       Q9NQR1
KMT5B       Q4FZB7
KMT5C       Q86Y97
KNCN        A6PVL3
KNDC1       Q76NI1
KNG1        P01042
KNL1        Q8NG31
KNOP1       Q1ED39
KNSTRN      Q9Y448
KNTC1       P50748
KPNA1       P52294
KPNA2       P52292
KPNA3       O00505
KPNA4       O00629
KPNA5       O15131
KPNA6       O60684
KPNA7       A9QM74
KPNB1       Q14974
KPRP        Q5T749
KPTN        Q9Y664
KRAS        P01116
KRBA1       A5PL33
KRBA2       Q6ZNG9
KRBOX1      C9JBD0
KRBOX4      Q5JUW0
KRCC1       Q9NPI7
KREMEN1     Q96MU8
KREMEN2     Q8NCW0
KRI1        Q8N9T8
KRIT1       O00522
KRR1        Q13601
KRT1        P04264
KRT2        P35908
KRT3        P12035
KRT4        P19013
KRT5        P13647
KRT6A       P02538
KRT6B       P04259
KRT6C       P48668
KRT7        P08729
KRT8        P05787
KRT9        P35527
KRT10       P13645
KRT12       Q99456
KRT13       P13646
KRT14       P02533
KRT15       P19012
KRT16       P08779
KRT17       Q04695
KRT18       P05783
KRT19       P08727
KRT20       P35900
KRT23       Q9C075
KRT24       Q2M2I5
KRT25       Q7Z3Z0
KRT26       Q7Z3Y9
KRT27       Q7Z3Y8
KRT28       Q7Z3Y7
KRT31       Q15323
KRT32       Q14532
KRT33A      O76009
KRT33B      Q14525
KRT34       O76011
KRT35       Q92764
KRT36       O76013
KRT37       O76014
KRT38       O76015
KRT39       Q6A163
KRT40       Q6A162
KRT71       Q3SY84
KRT72       Q14CN4
KRT73       Q86Y46
KRT74       Q7RTS7
KRT75       O95678
KRT76       Q01546
KRT77       Q7Z794
KRT78       Q8N1N4
KRT79       Q5XKE5
KRT80       Q6KB66
KRT81       Q14533
KRT82       Q9NSB4
KRT83       P78385
KRT84       Q9NSB2
KRT85       P78386
KRT86       O43790
KRT222      Q8N1A0
KRTAP1-1    Q07627
KRTAP1-3    Q8IUG1
KRTAP1-4    P0C5Y4
KRTAP1-5    Q9BYS1
KRTAP2-1    Q9BYU5
KRTAP2-2    Q9BYT5
KRTAP2-3    P0C7H8
KRTAP2-4    Q9BYR9
KRTAP3-1    Q9BYR8
KRTAP3-2    Q9BYR7
KRTAP3-3    Q9BYR6
KRTAP4-1    Q9BYQ7
KRTAP4-2    Q9BYR5
KRTAP4-3    Q9BYR4
KRTAP4-4    Q9BYR3
KRTAP4-5    Q9BYR2
KRTAP4-6    Q9BYQ5
KRTAP4-7    Q9BYR0
KRTAP4-8    Q9BYQ9
KRTAP4-9    Q9BYQ8
KRTAP4-11   Q9BYQ6
KRTAP4-12   Q9BQ66
KRTAP5-1    Q6L8H4
KRTAP5-2    Q701N4
KRTAP5-3    Q6L8H2
KRTAP5-4    Q6L8H1
KRTAP5-5    Q701N2
KRTAP5-6    Q6L8G9
KRTAP5-7    Q6L8G8
KRTAP5-8    O75690
KRTAP5-9    P26371
KRTAP5-10   Q6L8G5
KRTAP5-11   Q6L8G4
KRTAP6-1    Q3LI64
KRTAP6-2    Q3LI66
KRTAP6-3    Q3LI67
KRTAP7-1    Q8IUC3
KRTAP8-1    Q8IUC2
KRTAP9-1    A8MXZ3
KRTAP9-2    Q9BYQ4
KRTAP9-3    Q9BYQ3
KRTAP9-4    Q9BYQ2
KRTAP9-6    A8MVA2
KRTAP9-7    A8MTY7
KRTAP9-8    Q9BYQ0
KRTAP9-9    Q9BYP9
KRTAP10-1   P60331
KRTAP10-2   P60368
KRTAP10-3   P60369
KRTAP10-4   P60372
KRTAP10-5   P60370
KRTAP10-6   P60371
KRTAP10-7   P60409
KRTAP10-8   P60410
KRTAP10-9   P60411
KRTAP10-10  P60014
KRTAP10-11  P60412
KRTAP10-12  P60413
KRTAP11-1   Q8IUC1
KRTAP12-1   P59990
KRTAP12-2   P59991
KRTAP12-3   P60328
KRTAP12-4   P60329
KRTAP13-1   Q8IUC0
KRTAP13-2   Q52LG2
KRTAP13-3   Q3SY46
KRTAP13-4   Q3LI77
KRTAP15-1   Q3LI76
KRTAP16-1   A8MUX0
KRTAP17-1   Q9BYP8
KRTAP19-1   Q8IUB9
KRTAP19-2   Q3LHN2
KRTAP19-3   Q7Z4W3
KRTAP19-4   Q3LI73
KRTAP19-5   Q3LI72
KRTAP19-6   Q3LI70
KRTAP19-7   Q3SYF9
KRTAP19-8   Q3LI54
KRTAP20-1   Q3LI63
KRTAP20-2   Q3LI61
KRTAP20-3   Q3LI60
KRTAP21-1   Q3LI58
KRTAP21-2   Q3LI59
KRTAP21-3   Q3LHN1
KRTAP22-1   Q3MIV0
KRTAP22-2   Q3LI68
KRTAP23-1   A1A580
KRTAP24-1   Q3LI83
KRTAP25-1   Q3LHN0
KRTAP26-1   Q6PEX3
KRTAP27-1   Q3LI81
KRTAP29-1   A8MX34
KRTCAP2     Q8N6L1
KRTCAP3     Q53RY4
KRTDAP      P60985
KSR1        Q8IVT5
KSR2        Q6VAB6
KTI12       Q96EK9
KTN1        Q86UP2
KXD1        Q9BQD3
KY          Q8NBH2
KYAT1       Q16773
KYAT3       Q6YP21
KYNU        Q16719
L1CAM       P32004
L1TD1       Q5T7N2
L2HGDH      Q9H9P8
L3HYPDH     Q96EM0
L3MBTL1     Q9Y468
L3MBTL2     Q969R5
L3MBTL3     Q96JM7
L3MBTL4     Q8NA19
LACC1       Q8IV20
LACRT       Q9GZZ8
LACTB       P83111
LACTB2      Q53H82
LACTBL1     A8MY62
LAD1        O00515
LAG3        P18627
LAGE3       Q14657
LAIR1       Q6GTX8
LAIR2       Q6ISS4
LALBA       P00709
LAMA1       P25391
LAMA2       P24043
LAMA3       Q16787
LAMA4       Q16363
LAMA5       O15230
LAMB1       P07942
LAMB2       P55268
LAMB3       Q13751
LAMB4       A4D0S4
LAMC1       P11047
LAMC2       Q13753
LAMC3       Q9Y6N6
LAMP1       P11279
LAMP2       P13473
LAMP3       Q9UQV4
LAMP5       Q9UJQ1
LAMTOR1     Q6IAA8
LAMTOR2     Q9Y2Q5
LAMTOR3     Q9UHA4
LAMTOR4     Q0VGL1
LAMTOR5     O43504
LANCL1      O43813
LANCL2      Q9NS86
LANCL3      Q6ZV70
LAP3        P28838
LAPTM4A     Q15012
LAPTM4B     Q86VI4
LAPTM5      Q13571
LARGE1      O95461
LARGE2      Q8N3Y3
LARP1       Q6PKG0
LARP1B      Q659C4
LARP4       Q71RC2
LARP4B      Q92615
LARP6       Q9BRS8
LARP7       Q4G0J3
LARS        Q9P2J5
LARS2       Q15031
LAS1L       Q9Y4W2
LASP1       Q14847
LAT         O43561
LAT2        Q9GZY6
LATS1       O95835
LATS2       Q9NRM7
LAX1        Q8IWV1
LAYN        Q6UX15
LBH         Q53QV2
LBHD1       Q9BQE6
LBP         P18428
LBR         Q14739
LBX1        P52954
LBX2        Q6XYB7
LCA5        Q86VQ0
LCA5L       O95447
LCAT        P04180
LCE1A       Q5T7P2
LCE1B       Q5T7P3
LCE1C       Q5T751
LCE1D       Q5T752
LCE1E       Q5T753
LCE1F       Q5T754
LCE2A       Q5TA79
LCE2B       O14633
LCE2C       Q5TA81
LCE2D       Q5TA82
LCE3A       Q5TA76
LCE3B       Q5TA77
LCE3C       Q5T5A8
LCE3D       Q9BYE3
LCE3E       Q5T5B0
LCE4A       Q5TA78
LCE5A       Q5TCM9
LCE6A       A0A183
LCK         P06239
LCLAT1      Q6UWP7
LCMT1       Q9UIC8
LCMT2       O60294
LCN1        P31025
LCN2        P80188
LCN6        P62502
LCN8        Q6JVE9
LCN9        Q8WX39
LCN10       Q6JVE6
LCN12       Q6JVE5
LCN15       Q6UWW0
LCNL1       Q6ZST4
LCOR        Q96JN0
LCORL       Q8N3X6
LCP1        P13796
LCP2        Q13094
LCT         P09848
LCTL        Q6UWM7
LDAH        Q9H6V9
LDB1        Q86U70
LDB2        O43679
LDB3        O75112
LDHA        P00338
LDHAL6A     Q6ZMR3
LDHAL6B     Q9BYZ2
LDHB        P07195
LDHC        P07864
LDHD        Q86WU2
LDLR        P01130
LDLRAD1     Q5T700
LDLRAD2     Q5SZI1
LDLRAD3     Q86YD5
LDLRAD4     O15165
LDLRAP1     Q5SW96
LDOC1       O95751
LEAP2       Q969E1
LECT2       O14960
LEF1        Q9UJU2
LEFTY1      O75610
LEFTY2      O00292
LEKR1       Q6ZMV7
LELP1       Q5T871
LEMD1       Q68G75
LEMD2       Q8NC56
LEMD3       Q9Y2U8
LENEP       Q9Y5L5
LENG1       Q96BZ8
LENG8       Q96PV6
LENG9       Q96B70
LEO1        Q8WVC0
LEP         P41159
LEPR        P48357
LEPROT      O15243
LEPROTL1    O95214
LETM1       O95202
LETM2       Q2VYF4
LETMD1      Q6P1Q0
LEUTX       A8MZ59
LEXM        Q3ZCV2
LFNG        Q8NES3
LGALS1      P09382
LGALS2      P05162
LGALS3      P17931
LGALS3BP    Q08380
LGALS4      P56470
LGALS7      P47929
LGALS7B     P47929
LGALS8      O00214
LGALS9      O00182
LGALS9B     Q3B8N2
LGALS9C     Q6DKI2
LGALS12     Q96DT0
LGALS13     Q9UHV8
LGALS14     Q8TCE9
LGALS16     A8MUM7
LGALSL      Q3ZCW2
LGI1        O95970
LGI2        Q8N0V4
LGI3        Q8N145
LGI4        Q8N135
LGMN        Q99538
LGR4        Q9BXB1
LGR5        O75473
LGR6        Q9HBX8
LGSN        Q5TDP6
LHB         P01229
LHCGR       P22888
LHFP        Q9Y693
LHFPL1      Q86WI0
LHFPL2      Q6ZUX7
LHFPL3      Q86UP9
LHFPL4      Q7Z7J7
LHFPL5      Q8TAF8
LHPP        Q9H008
LHX1        P48742
LHX2        P50458
LHX3        Q9UBR4
LHX4        Q969G2
LHX5        Q9H2C1
LHX6        Q9UPM6
LHX8        Q68G74
LHX9        Q9NQ69
LIAS        O43766
LIF         P15018
LIFR        P42702
LIG1        P18858
LIG3        P49916
LIG4        P49917
LILRA1      O75019
LILRA2      Q8N149
LILRA4      P59901
LILRA5      A6NI73
LILRA6      Q6PI73
LILRB1      Q8NHL6
LILRB2      Q8N423
LILRB3      O75022
LILRB4      Q8NHJ6
LILRB5      O75023
LIM2        P55344
LIMA1       Q9UHB6
LIMCH1      Q9UPQ0
LIMD1       Q9UGP4
LIMD2       Q9BT23
LIME1       Q9H400
LIMK1       P53667
LIMK2       P53671
LIMS1       P48059
LIMS2       Q7Z4I7
LIMS3       P0CW19
LIMS4       P0CW20
LIN7A       O14910
LIN7B       Q9HAP6
LIN7C       Q9NUP9
LIN9        Q5TKA1
LIN28A      Q9H9Z2
LIN28B      Q6ZN17
LIN37       Q96GY3
LIN52       Q52LA3
LIN54       Q6MZP7
LINGO1      Q96FE5
LINGO2      Q7L985
LINGO3      P0C6S8
LINGO4      Q6UY18
LINS1       Q8NG48
LIPA        P38571
LIPC        P11150
LIPE        Q05469
LIPF        P07098
LIPG        Q9Y5X9
LIPH        Q8WWY8
LIPI        Q6XZB0
LIPJ        Q5W064
LIPK        Q5VXJ0
LIPM        Q5VYY2
LIPN        Q5VXI9
LIPT1       Q9Y234
LIPT2       A6NK58
LITAF       Q99732
LIX1        Q8N485
LIX1L       Q8IVB5
LKAAEAR1    Q8TD35
LLGL1       Q15334
LLGL2       Q6P1M3
LLPH        Q9BRT6
LMAN1       P49257
LMAN1L      Q9HAT1
LMAN2       Q12907
LMAN2L      Q9H0V9
LMBR1       Q8WVP7
LMBR1L      Q6UX01
LMBRD1      Q9NUN5
LMBRD2      Q68DH5
LMCD1       Q9NZU5
LMF1        Q96S06
LMF2        Q9BU23
LMLN        Q96KR4
LMNA        P02545
LMNB1       P20700
LMNB2       Q03252
LMNTD1      Q8N9Z9
LMNTD2      Q8IXW0
LMO1        P25800
LMO2        P25791
LMO3        Q8TAP4
LMO4        P61968
LMO7        Q8WWI1
LMO7DN      F2Z398
LMOD1       P29536
LMOD2       Q6P5Q4
LMOD3       Q0VAK6
LMTK2       Q8IWU2
LMTK3       Q96Q04
LMX1A       Q8TE12
LMX1B       O60663
LNP1        A1A4G5
LNPEP       Q9UIQ6
LNPK        Q9C0E8
LNX1        Q8TBB1
LNX2        Q8N448
LONP1       P36776
LONP2       Q86WA8
LONRF1      Q17RB8
LONRF2      Q1L5Z9
LONRF3      Q496Y0
LOR         P23490
LOX         P28300
LOXHD1      Q8IVV2
LOXL1       Q08397
LOXL2       Q9Y4K0
LOXL3       P58215
LOXL4       Q96JB6
LPA         P08519
LPAR1       Q92633
LPAR2       Q9HBW0
LPAR3       Q9UBY5
LPAR4       Q99677
LPAR5       Q9H1C0
LPAR6       P43657
LPCAT1      Q8NF37
LPCAT2      Q7L5N7
LPCAT3      Q6P1A2
LPCAT4      Q643R3
LPGAT1      Q92604
LPIN1       Q14693
LPIN2       Q92539
LPIN3       Q9BQK8
LPL         P06858
LPO         P22079
LPP         Q93052
LPXN        O60711
LRAT        O95237
LRBA        P50851
LRCH1       Q9Y2L9
LRCH2       Q5VUJ6
LRCH3       Q96II8
LRCH4       O75427
LRCOL1      A6NCL2
LRFN1       Q9P244
LRFN2       Q9ULH4
LRFN3       Q9BTN0
LRFN4       Q6PJG9
LRFN5       Q96NI6
LRG1        P02750
LRGUK       Q96M69
LRIF1       Q5T3J3
LRIG1       Q96JA1
LRIG2       O94898
LRIG3       Q6UXM1
LRIT1       Q9P2V4
LRIT2       A6NDA9
LRIT3       Q3SXY7
LRMDA       Q9H2I8
LRMP        Q12912
LRP1        Q07954
LRP1B       Q9NZR2
LRP2        P98164
LRP2BP      Q9P2M1
LRP3        O75074
LRP4        O75096
LRP5        O75197
LRP5L       A4QPB2
LRP6        O75581
LRP8        Q14114
LRP10       Q7Z4F1
LRP11       Q86VZ4
LRP12       Q9Y561
LRPAP1      P30533
LRPPRC      P42704
LRR1        Q96L50
LRRC1       Q9BTT6
LRRC2       Q9BYS8
LRRC3       Q9BY71
LRRC3B      Q96PB8
LRRC3C      A6NJW4
LRRC4       Q9HBW1
LRRC4B      Q9NT99
LRRC4C      Q9HCJ2
LRRC6       Q86X45
LRRC7       Q96NW7
LRRC8A      Q8IWT6
LRRC8B      Q6P9F7
LRRC8C      Q8TDW0
LRRC8D      Q7L1W4
LRRC8E      Q6NSJ5
LRRC10      Q5BKY1
LRRC10B     A6NIK2
LRRC14      Q15048
LRRC14B     A6NHZ5
LRRC15      Q8TF66
LRRC17      Q8N6Y2
LRRC18      Q8N456
LRRC19      Q9H756
LRRC20      Q8TCA0
LRRC23      Q53EV4
LRRC24      Q50LG9
LRRC25      Q8N386
LRRC26      Q2I0M4
LRRC27      Q9C0I9
LRRC28      Q86X40
LRRC29      Q8WV35
LRRC30      A6NM36
LRRC31      Q6UY01
LRRC32      Q14392
LRRC34      Q8IZ02
LRRC36      Q1X8D7
LRRC37A     A6NMS7
LRRC37A2    A6NM11
LRRC37A3    O60309
LRRC37B     Q96QE4
LRRC38      Q5VT99
LRRC39      Q96DD0
LRRC40      Q9H9A6
LRRC41      Q15345
LRRC42      Q9Y546
LRRC43      Q8N309
LRRC45      Q96CN5
LRRC46      Q96FV0
LRRC47      Q8N1G4
LRRC49      Q8IUZ0
LRRC52      Q8N7C0
LRRC53      A6NM62
LRRC55      Q6ZSA7
LRRC56      Q8IYG6
LRRC57      Q8N9N7
LRRC58      Q96CX6
LRRC59      Q96AG4
LRRC61      Q9BV99
LRRC63      Q05C16
LRRC66      Q68CR7
LRRC69      Q6ZNQ3
LRRC70      Q7Z2Q7
LRRC71      Q8N4P6
LRRC72      A6NJI9
LRRC73      Q5JTD7
LRRC74A     Q0VAA2
LRRC74B     Q6ZQY2
LRRC75A     Q8NAA5
LRRC75B     Q2VPJ9
LRRCC1      Q9C099
LRRD1       A4D1F6
LRRFIP1     Q32MZ4
LRRFIP2     Q9Y608
LRRIQ1      Q96JM4
LRRIQ3      A6PVS8
LRRIQ4      A6NIV6
LRRK1       Q38SD2
LRRK2       Q5S007
LRRN1       Q6UXK5
LRRN2       O75325
LRRN3       Q9H3W5
LRRN4       Q8WUT4
LRRN4CL     Q8ND94
LRRTM1      Q86UE6
LRRTM2      O43300
LRRTM3      Q86VH5
LRRTM4      Q86VH4
LRSAM1      Q6UWE0
LRTM1       Q9HBL6
LRTM2       Q8N967
LRWD1       Q9UFC0
LSAMP       Q13449
LSG1        Q9H089
LSM1        O15116
LSM2        Q9Y333
LSM3        P62310
LSM4        Q9Y4Z0
LSM5        Q9Y4Y9
LSM6        P62312
LSM7        Q9UK45
LSM8        O95777
LSM10       Q969L4
LSM11       P83369
LSM12       Q3MHD2
LSM14A      Q8ND56
LSM14B      Q9BX40
LSMEM1      Q8N8F7
LSMEM2      Q8N112
LSP1        P33241
LSR         Q86X29
LSS         P48449
LST1        O00453
LTA         P01374
LTA4H       P09960
LTB         Q06643
LTB4R       Q15722
LTB4R2      Q9NPC1
LTBP1       Q14766
LTBP2       Q14767
LTBP3       Q9NS15
LTBP4       Q8N2S1
LTBR        P36941
LTC4S       Q16873
LTF         P02788
LTK         P29376
LTN1        O94822
LTV1        Q96GA3
LUC7L       Q9NQ29
LUC7L2      Q9Y383
LUC7L3      O95232
LUM         P51884
LURAP1      Q96LR2
LURAP1L     Q8IV03
LUZP1       Q86V48
LUZP2       Q86TE4
LUZP4       Q9P127
LUZP6       Q538Z0
LVRN        Q6Q4G3
LXN         Q9BS40
LY6D        Q14210
LY6E        Q16553
LY6G5B      Q8NDX9
LY6G5C      Q5SRR4
LY6G6C      O95867
LY6G6D      O95868
LY6G6F      Q5SQ64
LY6H        O94772
LY6K        Q17RY6
LY6L        H3BQJ8
LY9         Q9HBG7
LY75        O60449
LY86        O95711
LY96        Q9Y6Y9
LYAR        Q9NX58
LYG1        Q8N1E2
LYG2        Q86SG7
LYL1        P12980
LYN         P07948
LYNX1       Q9BZG9
LYPD1       Q8N2G4
LYPD2       Q6UXB3
LYPD3       O95274
LYPD4       Q6UWN0
LYPD5       Q6UWN5
LYPD6       Q86Y78
LYPD6B      Q8NI32
LYPD8       Q6UX82
LYPLA1      O75608
LYPLA2      O95372
LYPLAL1     Q5VWZ2
LYRM1       O43325
LYRM2       Q9NU23
LYRM4       Q9HD34
LYRM7       Q5U5X0
LYRM9       A8MSI8
LYSMD1      Q96S90
LYSMD2      Q8IV50
LYSMD3      Q7Z3D4
LYSMD4      Q5XG99
LYST        Q99698
LYVE1       Q9Y5Y7
LYZ         P61626
LYZL1       Q6UWQ5
LYZL2       Q7Z4W2
LYZL4       Q96KX0
LYZL6       O75951
LZIC        Q8WZA0
LZTFL1      Q9NQ48
LZTR1       Q8N653
LZTS1       Q9Y250
LZTS2       Q9BRK4
LZTS3       O60299
M1AP        Q8TC57
M6PR        P20645
MAATS1      Q7Z4T9
MAB21L1     Q13394
MAB21L2     Q9Y586
MAB21L3     Q8N8X9
MACC1       Q6ZN28
MACF1       Q9UPN3
MACROD1     Q9BQ69
MACROD2     A1Z1Q3
MAD1L1      Q9Y6D9
MAD2L1      Q13257
MAD2L1BP    Q15013
MAD2L2      Q9UI95
MADCAM1     Q13477
MADD        Q8WXG6
MAEA        Q7L5Y9
MAEL        Q96JY0
MAF         O75444
MAF1        Q9H063
MAFA        Q8NHW3
MAFB        Q9Y5Q3
MAFF        Q9ULX9
MAFG        O15525
MAFK        O60675
MAG         P20916
MAGEA1      P43355
MAGEA2      P43356
MAGEA2B     P43356
MAGEA3      P43357
MAGEA4      P43358
MAGEA6      P43360
MAGEA8      P43361
MAGEA9      P43362
MAGEA9B     P43362
MAGEA10     P43363
MAGEA11     P43364
MAGEA12     P43365
MAGEB1      P43366
MAGEB2      O15479
MAGEB3      O15480
MAGEB4      O15481
MAGEB5      Q9BZ81
MAGEB6      Q8N7X4
MAGEB10     Q96LZ2
MAGEB16     A2A368
MAGEB17     A8MXT2
MAGEB18     Q96M61
MAGEC1      O60732
MAGEC2      Q9UBF1
MAGEC3      Q8TD91
MAGED1      Q9Y5V3
MAGED2      Q9UNF1
MAGED4      Q96JG8
MAGED4B     Q96JG8
MAGEE1      Q9HCI5
MAGEE2      Q8TD90
MAGEF1      Q9HAY2
MAGEH1      Q9H213
MAGEL2      Q9UJ55
MAGI1       Q96QZ7
MAGI2       Q86UL8
MAGI3       Q5TCQ9
MAGIX       Q9H6Y5
MAGOH       P61326
MAGOHB      Q96A72
MAGT1       Q9H0U3
MAIP1       Q8WWC4
MAJIN       Q3KP22
MAK         P20794
MAK16       Q9BXY0
MAL         P21145
MAL2        Q969L2
MALL        Q13021
MALRD1      Q5VYJ5
MALSU1      Q96EH3
MALT1       Q9UDY8
MAMDC2      Q7Z304
MAMDC4      Q6UXC1
MAML1       Q92585
MAML2       Q8IZL2
MAML3       Q96JK9
MAMLD1      Q13495
MAMSTR      Q6ZN01
MAN1A1      P33908
MAN1A2      O60476
MAN1B1      Q9UKM7
MAN1C1      Q9NR34
MAN2A1      Q16706
MAN2A2      P49641
MAN2B1      O00754
MAN2B2      Q9Y2E5
MAN2C1      Q9NTJ4
MANBA       O00462
MANBAL      Q9NQG1
MANEA       Q5SRI9
MANEAL      Q5VSG8
MANF        P55145
MANSC1      Q9H8J5
MANSC4      A6NHS7
MAOA        P21397
MAOB        P27338
MAP1A       P78559
MAP1B       P46821
MAP1LC3A    Q9H492
MAP1LC3B    Q9GZQ8
MAP1LC3B2   A6NCE7
MAP1LC3C    Q9BXW4
MAP1S       Q66K74
MAP2        P11137
MAP2K1      Q02750
MAP2K2      P36507
MAP2K3      P46734
MAP2K4      P45985
MAP2K5      Q13163
MAP2K6      P52564
MAP2K7      O14733
MAP3K1      Q13233
MAP3K2      Q9Y2U5
MAP3K3      Q99759
MAP3K4      Q9Y6R4
MAP3K5      Q99683
MAP3K6      O95382
MAP3K7      O43318
MAP3K7CL    P57077
MAP3K8      P41279
MAP3K9      P80192
MAP3K10     Q02779
MAP3K11     Q16584
MAP3K12     Q12852
MAP3K13     O43283
MAP3K14     Q99558
MAP3K15     Q6ZN16
MAP3K19     Q56UN5
MAP3K20     Q9NYL2
MAP3K21     Q5TCX8
MAP4        P27816
MAP4K1      Q92918
MAP4K2      Q12851
MAP4K3      Q8IVH8
MAP4K4      O95819
MAP4K5      Q9Y4K4
MAP6        Q96JE9
MAP6D1      Q9H9H5
MAP7        Q14244
MAP7D1      Q3KQU3
MAP7D2      Q96T17
MAP7D3      Q8IWC1
MAP9        Q49MG5
MAP10       Q9P2G4
MAPK1       P28482
MAPK1IP1L   Q8NDC0
MAPK3       P27361
MAPK4       P31152
MAPK6       Q16659
MAPK7       Q13164
MAPK8       P45983
MAPK8IP1    Q9UQF2
MAPK8IP2    Q13387
MAPK8IP3    Q9UPT6
MAPK9       P45984
MAPK10      P53779
MAPK11      Q15759
MAPK12      P53778
MAPK13      O15264
MAPK14      Q16539
MAPK15      Q8TD08
MAPKAP1     Q9BPZ7
MAPKAPK2    P49137
MAPKAPK3    Q16644
MAPKAPK5    Q8IW41
MAPKBP1     O60336
MAPRE1      Q15691
MAPRE2      Q15555
MAPRE3      Q9UPY8
MAPT        P10636
MARC1       Q5VT66
MARC2       Q969Z3
MARCH1      Q8TCQ1
MARCH2      Q9P0N8
MARCH3      Q86UD3
MARCH4      Q9P2E8
MARCH5      Q9NX47
MARCH6      O60337
MARCH7      Q9H992
MARCH8      Q5T0T0
MARCH9      Q86YJ5
MARCH10     Q8NA82
MARCH11     A6NNE9
MARCKS      P29966
MARCKSL1    P49006
MARCO       Q9UEW3
MARF1       Q9Y4F3
MARK1       Q9P0L2
MARK2       Q7KZI7
MARK3       P27448
MARK4       Q96L34
MARS        P56192
MARS2       Q96GW9
MARVELD1    Q9BSK0
MARVELD2    Q8N4S9
MARVELD3    Q96A59
MAS1        P04201
MAS1L       P35410
MASP1       P48740
MASP2       O00187
MAST1       Q9Y2H9
MAST2       Q6P0Q8
MAST3       O60307
MAST4       O15021
MASTL       Q96GX5
MAT1A       Q00266
MAT2A       P31153
MAT2B       Q9NZL9
MATK        P42679
MATN1       P21941
MATN2       O00339
MATN3       O15232
MATN4       O95460
MATR3       P43243
MAU2        Q9Y6X3
MAVS        Q7Z434
MAX         P61244
MAZ         P56270
MB          P02144
MB21D1      Q8N884
MB21D2      Q8IYB1
MBD1        Q9UIS9
MBD2        Q9UBB5
MBD3        O95983
MBD3L1      Q8WWY6
MBD3L2      Q8NHZ7
MBD3L3      A6NE82
MBD3L4      A6NDZ8
MBD3L5      A6NJ08
MBD4        O95243
MBD5        Q9P267
MBD6        Q96DN6
MBIP        Q9NS73
MBL2        P11226
MBLAC1      A4D2B0
MBLAC2      Q68D91
MBNL1       Q9NR56
MBNL2       Q5VZF2
MBNL3       Q9NUK0
MBOAT1      Q6ZNC8
MBOAT2      Q6ZWT7
MBOAT4      Q96T53
MBOAT7      Q96N66
MBP         P02686
MBTD1       Q05BQ5
MBTPS1      Q14703
MBTPS2      O43462
MC1R        Q01726
MC2R        Q01718
MC3R        P41968
MC4R        P32245
MC5R        P33032
MCAM        P43121
MCAT        Q8IVS2
MCC         P23508
MCCC1       Q96RQ3
MCCC2       Q9HCC0
MCCD1       P59942
MCEE        Q96PE7
MCEMP1      Q8IX19
MCF2        P10911
MCF2L       O15068
MCF2L2      Q86YR7
MCFD2       Q8NI22
MCHR1       Q99705
MCHR2       Q969V1
MCIDAS      D6RGH6
MCL1        Q07820
MCM2        P49736
MCM3        P25205
MCM3AP      O60318
MCM4        P33991
MCM5        P33992
MCM6        Q14566
MCM7        P33993
MCM8        Q9UJA3
MCM9        Q9NXL9
MCM10       Q7L590
MCMBP       Q9BTE3
MCMDC2      Q4G0Z9
MCOLN1      Q9GZU1
MCOLN2      Q8IZK6
MCOLN3      Q8TDD5
MCPH1       Q8NEM0
MCRIP1      C9JLW8
MCRIP2      Q9BUT9
MCRS1       Q96EZ8
MCTP1       Q6DN14
MCTP2       Q6DN12
MCTS1       Q9ULC4
MCU         Q8NE86
MCUB        Q9NWR8
MCUR1       Q96AQ8
MDC1        Q14676
MDFI        Q99750
MDFIC       Q9P1T7
MDGA1       Q8NFP4
MDGA2       Q7Z553
MDH1        P40925
MDH1B       Q5I0G3
MDH2        P40926
